analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,420,0.0015740884197217818,1.0688580290088567e-05,0.011672516019919395
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,440,0.0014544476886959737,8.956424883091452e-06,0.010503969281742081
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,460,0.0013220957606479666,7.3059270480763105e-06,0.009325956335728414
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,480,0.0011904041066355066,6.0160017134186505e-06,0.008480279765469077
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,500,0.001115501613649569,5.405778405617734e-06,0.008156182325377152
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,520,0.0010500802703603215,4.984806704425027e-06,0.00796571125491605
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,0,0.6268770560167006,0.3786330971770496,0.9999999999999999
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,20,0.16064902996469477,0.15149901678719935,0.8807478078771777
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,40,0.1403801153188917,0.10377379529536648,0.7370646081990236
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,60,0.11570936532716566,0.07233350824219578,0.6102000422681478
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,80,0.09474746988193275,0.05287950605457581,0.507337502903963
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,100,0.07640630928331499,0.03826052405079278,0.4246616339791053
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,120,0.06452574686396088,0.028983964169145837,0.35943034299714993
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,140,0.053839128705551666,0.021291573776237166,0.30646335266940233
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,160,0.04357349660306469,0.01535099531346587,0.26514469374157096
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,180,0.036521524922797956,0.012023929089012536,0.2352218541563791
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,200,0.03197792351034034,0.009513108104687445,0.2104621856833406
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,220,0.02546237612615473,0.00687699226507843,0.18748911106189786
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,240,0.021920008906978188,0.005342633466323632,0.1679000947254014
