algorithm,dataset,epsilon,initial_gradient_norm,final_gradient_norm,absolute_gap,relative_gap,computational_time_seconds,number_of_iterations,hidden_layer_size,alpha,beta
Heavy Ball,digits,1e-05,8.02858453534167,8.01725997621517e-06,2.0694557179012918e-12,2.0694557179012918e-12,0.8321360000118148,790,1000,0.026577350586404164,0.9676606508491992
Nesterov,digits,1e-05,8.02858453534167,9.998436924735944e-06,1.721812560584457e-09,1.721812560584457e-09,1.2239328750001732,1085,1000,0.006753996327622797,0.9836974386716676
PyTorch SGD momentum,digits,1e-05,8.02858453534167,8.017259961980719e-06,2.0694557179012918e-12,2.0694557179012918e-12,0.535493375005899,790,1000,0.026577350586404164,0.9676606508491992
PyTorch SGD Nesterov,digits,1e-05,8.02858453534167,9.998436924731706e-06,1.721812560584457e-09,1.721812560584457e-09,0.6270139169937465,1085,1000,0.006753996327622797,0.9836974386716676
Heavy Ball,digits,1e-07,8.02858453534167,6.045392295270425e-08,2.636779683484747e-16,2.636779683484747e-16,1.0809833749954123,1059,1000,0.026577350586404164,0.9676606508491992
Nesterov,digits,1e-07,8.02858453534167,9.927865791032064e-08,1.9875767698351865e-13,1.9875767698351865e-13,1.8035349999845494,1635,1000,0.006753996327622797,0.9836974386716676
PyTorch SGD momentum,digits,1e-07,8.02858453534167,6.045392163682192e-08,2.706168622523819e-16,2.706168622523819e-16,0.7632603340025526,1059,1000,0.026577350586404164,0.9676606508491992
PyTorch SGD Nesterov,digits,1e-07,8.02858453534167,9.927865788086434e-08,1.9875767698351865e-13,1.9875767698351865e-13,0.9130642089876346,1635,1000,0.006753996327622797,0.9836974386716676
Heavy Ball,digits,0.001,26.954915202401498,0.0007634453603322838,2.5674491595240045e-08,2.5674491595240045e-08,13.005492291995324,1277,5000,0.005116936960589529,0.9857446156817471
Nesterov,digits,0.001,26.954915202401498,0.000996853803786319,2.134421588399424e-05,2.134421588399424e-05,11.4438411250012,1459,5000,0.0012884342851920332,0.9928467231560706
PyTorch SGD momentum,digits,0.001,26.954915202401498,0.0007634453603346793,2.5674491595240045e-08,2.5674491595240045e-08,7.966900583996903,1277,5000,0.005116936960589529,0.9857446156817471
PyTorch SGD Nesterov,digits,0.001,26.954915202401498,0.000996853803786282,2.134421588399424e-05,2.134421588399424e-05,8.749230332992738,1459,5000,0.0012884342851920332,0.9928467231560706
Heavy Ball,digits,1e-05,26.954915202401498,9.979380880187704e-06,6.949527758814966e-12,6.949527758814966e-12,11.647981750022154,1892,5000,0.005116936960589529,0.9857446156817471
Nesterov,digits,1e-05,26.954915202401498,9.9711459883807e-06,4.076183574702741e-09,4.076183574702741e-09,18.92681029101368,2800,5000,0.0012884342851920332,0.9928467231560706
PyTorch SGD momentum,digits,1e-05,26.954915202401498,9.979380876933964e-06,6.949524289368014e-12,6.949524289368014e-12,10.897393249993911,1892,5000,0.005116936960589529,0.9857446156817471
